step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
62,6038,62,0.11289908242829948,0.0,0.5714285714285714
63,6127,63,0.18289895624742553,0.0,0.2857142857142857
64,6288,64,0.10298479698909796,0.0,0.42857142857142855
65,6369,65,0.09705800515424926,0.0,0.7142857142857143
66,6458,66,0.10448053452905945,0.0,0.7142857142857143
67,6571,67,0.06363744961330667,0.0,0.7142857142857143
68,6740,68,0.08404170548949748,0.0,0.42857142857142855
69,6853,69,0.0624727958179054,0.0,0.7142857142857143
70,6934,70,0.14081581649463623,0.0,0.42857142857142855
71,7039,71,0.07965236507291243,0.0,0.5714285714285714
72,7288,72,0.06892309289799267,0.0,0.42857142857142855
73,7377,73,0.19914533490886574,0.0,0.2857142857142857
74,7466,74,0.18497980245373175,0.0,0.2857142857142857
75,7563,75,0.09318361420640334,0.0,0.5714285714285714
76,7636,76,0.19980331475147978,0.0,0.2857142857142857
77,7797,77,0.0603972396856625,0.0,0.5714285714285714
78,7942,78,0.07228197082951536,0.0,0.42857142857142855
79,8047,79,0.07325438484477882,0.0,0.5714285714285714
80,8152,80,0.08387788639014337,0.0,0.5714285714285714
81,8225,81,0.07503676695742695,0.0,0.8571428571428571
82,8314,82,0.10085366648770022,0.0,0.7142857142857143
83,8411,83,0.07750086345971796,0.0,0.5714285714285714
84,8476,84,0.24514880657257893,0.0,0.42857142857142855
85,8565,85,0.14551224291049453,0.0,0.5714285714285714
86,8670,86,0.09010645329459714,0.0,0.5714285714285714
87,8791,87,0.1539527879500141,0.0,0.42857142857142855
88,8872,88,0.11544370062381493,0.0,0.2857142857142857
89,8977,89,0.15396945136142537,0.0,0.2857142857142857
90,9058,90,0.08635331741278061,0.0,0.5714285714285714
91,9211,91,0.10665311334446367,0.0,0.5714285714285714
92,9276,92,0.1277551323879743,0.0,0.5714285714285714
93,9429,93,0.11113000752097975,0.0,0.2857142857142857
94,9502,94,0.17545626322687086,0.0,0.14285714285714285
95,9599,95,0.11267288265322956,0.0,0.14285714285714285
96,9672,96,0.11438282944145611,0.0,0.7142857142857143
97,9737,97,0.23173990157054505,0.0,0.42857142857142855
98,9826,98,0.14670443494783036,0.0,0.2857142857142857
99,9923,99,0.13653404525946827,0.0,0.2857142857142857
100,9988,100,0.1969516019477669,0.0,0.2857142857142857
101,10069,101,0.08408344701095484,0.0,0.8571428571428571
102,10166,102,0.1075194348495764,0.0,0.42857142857142855
103,10263,103,0.13513675876414102,0.0,0.42857142857142855
104,10384,104,0.08185357989167096,0.0,0.7142857142857143
105,10481,105,0.08636776144703617,0.0,0.5714285714285714
106,10586,106,0.08661759144402684,0.0,0.42857142857142855
107,10667,107,0.20540604752954095,0.0,0.0
108,10868,108,0.05904898280525814,0.0,0.2857142857142857
109,10965,109,0.1219546894020459,0.0,0.42857142857142855
110,11062,110,0.08644156706732853,0.0,0.5714285714285714
111,11191,111,0.06945525062532397,0.0,0.7142857142857143
112,11264,112,0.11129743499513199,0.0,0.5714285714285714
113,11353,113,0.12274403694857691,0.0,0.5714285714285714
114,11474,114,0.17456829665826323,0.0,0.2857142857142857
115,11587,115,0.07983473541327839,0.0,0.8571428571428571
116,11668,116,0.18610098243691028,0.0,0.2857142857142857
117,11781,117,0.11988647954297318,0.0,0.2857142857142857
118,11926,118,0.0959317680262029,0.0,0.7142857142857143
119,12031,119,0.10566846368747065,0.0,0.7142857142857143
120,12160,120,0.08264699288291014,0.0,0.42857142857142855
121,12297,121,0.060616654823183236,0.0,0.7142857142857143
122,12386,122,0.08997847401293588,0.0,0.5714285714285714
123,12451,123,0.11050371974910378,0.0,0.5714285714285714
124,12540,124,0.1226053981316297,0.0,0.5714285714285714
125,12629,125,0.17468424512200395,0.0,0.42857142857142855
126,12694,126,0.22043398424182672,0.0,0.42857142857142855
127,12815,127,0.12721661058487369,0.0,0.14285714285714285
128,12912,128,0.09880341911683596,0.0,0.7142857142857143
129,13017,129,0.05545554523401034,1.0,1.0
130,13066,130,0.43626273772756885,0.0,0.14285714285714285
131,13147,131,0.16027852812732454,0.0,0.42857142857142855
132,13260,132,0.12082758167924891,0.0,0.2857142857142857
133,13381,133,0.06853621492782258,0.0,0.5714285714285714
134,13470,134,0.09281187049070881,0.0,0.7142857142857143
135,13575,135,0.07833284238501129,0.0,0.7142857142857143
136,13664,136,0.11951943836137864,0.0,0.5714285714285714
137,13761,137,0.12104700268181962,0.0,0.5714285714285714
138,13874,138,0.08959733963021012,0.0,0.5714285714285714
139,13987,139,0.10425698725905802,0.0,0.5714285714285714
140,14116,140,0.12277022512244001,0.0,0.5714285714285714
141,14205,141,0.15331130310215732,0.0,0.5714285714285714
142,14278,142,0.0826407415818216,0.0,0.7142857142857143
143,14359,143,0.08804335458891001,0.0,0.7142857142857143
144,14448,144,0.07316302924014798,0.0,0.8571428571428571
145,14569,145,0.06793848255050156,0.0,0.7142857142857143
146,14642,146,0.1337457287071609,0.0,0.5714285714285714
147,14755,147,0.0904478626153598,0.0,0.42857142857142855
148,14836,148,0.1258206090560416,0.0,0.5714285714285714
149,14957,149,0.10483944129598483,0.0,0.42857142857142855
150,15054,150,0.15927140328717843,0.0,0.14285714285714285
151,15151,151,0.08049411515637378,0.0,0.5714285714285714
152,15264,152,0.126989379634615,0.0,0.2857142857142857
153,15385,153,0.07551042950867365,0.0,0.7142857142857143
154,15474,154,0.18127681750100405,0.0,0.42857142857142855
155,15675,155,0.07177691005361267,0.0,0.2857142857142857
156,15796,156,0.07878559907316231,0.0,0.42857142857142855
157,15869,157,0.11120177823209412,0.0,0.7142857142857143
158,15982,158,0.09146683743591696,0.0,0.42857142857142855
159,16071,159,0.14162866819999181,0.0,0.42857142857142855
160,16160,160,0.0912382792234381,0.0,0.5714285714285714
161,16265,161,0.0770908939387076,1.0,1.0
162,16354,162,0.20001218737695706,0.0,0.14285714285714285
163,16443,163,0.10875164560455067,0.0,0.5714285714285714
164,16516,164,0.1739666272595706,0.0,0.2857142857142857
165,16637,165,0.06827106606657617,0.0,0.7142857142857143
166,16750,166,0.10688561830798529,0.0,0.42857142857142855
167,16831,167,0.11996681769331917,0.0,0.42857142857142855
168,16944,168,0.10849866911746045,0.0,0.5714285714285714
169,17017,169,0.10329455070921943,0.0,0.7142857142857143
170,17090,170,0.14140064514462009,0.0,0.5714285714285714
171,17211,171,0.09547760070181296,0.0,0.42857142857142855
172,17316,172,0.09474722779029086,0.0,0.5714285714285714
173,17421,173,0.0790305040392559,0.0,0.8571428571428571
174,17526,174,0.1277154047249888,0.0,0.5714285714285714
175,17631,175,0.11813479021193836,0.0,0.5714285714285714
176,17744,176,0.11362875792971211,0.0,0.42857142857142855
177,17857,177,0.06862686971077762,0.0,0.8571428571428571
178,17946,178,0.10049559819628483,0.0,0.7142857142857143
179,18083,179,0.0994211012305459,0.0,0.2857142857142857
180,18204,180,0.1108747083474882,0.0,0.2857142857142857
181,18317,181,0.16636261269439792,0.0,0.2857142857142857
182,18398,182,0.08514016645390075,0.0,0.5714285714285714
183,18551,183,0.05974022070082259,0.0,0.5714285714285714
184,18640,184,0.12100298653372606,0.0,0.2857142857142857
185,18697,185,0.13020045420520804,0.0,0.5714285714285714
186,18818,186,0.11331806889009507,0.0,0.42857142857142855
187,18875,187,0.13597977852319934,0.0,0.7142857142857143
188,18996,188,0.07473746124437701,0.0,0.42857142857142855
189,19077,189,0.07054896328167524,0.0,0.7142857142857143
190,19246,190,0.06382454649032471,0.0,0.42857142857142855
191,19391,191,0.07675654084796811,0.0,0.2857142857142857
192,19488,192,0.0744357706830245,0.0,0.7142857142857143
193,19569,193,0.10600749237296987,0.0,0.5714285714285714
194,19674,194,0.10250295871943729,0.0,0.5714285714285714
195,19811,195,0.05798598547030397,0.0,0.8571428571428571
196,19940,196,0.08142071852141748,0.0,0.5714285714285714
197,20037,197,0.0676758277363236,0.0,0.7142857142857143
198,20086,198,0.15360988848927565,0.0,0.7142857142857143
199,20207,199,0.08793368887554,0.0,0.2857142857142857
200,20320,200,0.10722215233921555,0.0,0.42857142857142855
201,20409,201,0.13582566119791326,0.0,0.14285714285714285
202,20538,202,0.06908184113225616,0.0,0.5714285714285714
203,20651,203,0.0997854722199554,0.0,0.42857142857142855
204,20772,204,0.08464278315467527,0.0,0.42857142857142855
205,20917,205,0.08251611873193825,0.0,0.42857142857142855
206,21006,206,0.11972425178969637,0.0,0.14285714285714285
207,21063,207,0.10813513937851113,0.0,0.7142857142857143
208,21184,208,0.08345879610496437,0.0,0.42857142857142855
209,21337,209,0.08933687493671498,0.0,0.2857142857142857
210,21426,210,0.05247962513271804,1.0,1.0
211,21515,211,0.09436690255473382,0.0,0.5714285714285714
212,21676,212,0.05838839723121783,0.0,0.5714285714285714
213,21861,213,0.1368286644023528,0.0,0.42857142857142855
214,21958,214,0.10877476814874777,0.0,0.7142857142857143
215,22055,215,0.055170939577571215,0.0,0.8571428571428571
216,22168,216,0.09357433018114533,0.0,0.2857142857142857
217,22273,217,0.1180918782817249,0.0,0.42857142857142855
218,22370,218,0.10081176183395049,0.0,0.42857142857142855
219,22459,219,0.09434047550005333,0.0,0.5714285714285714
220,22604,220,0.07430626201478945,0.0,0.42857142857142855
221,22749,221,0.07004280935565475,0.0,0.5714285714285714
222,22830,222,0.11407985097545317,0.0,0.5714285714285714
223,22975,223,0.05538125554608996,0.0,0.7142857142857143
224,23048,224,0.13614469141699376,0.0,0.42857142857142855
225,23153,225,0.12017255417877236,0.0,0.42857142857142855
226,23258,226,0.0998894324457237,0.0,0.7142857142857143
227,23379,227,0.106625207177926,0.0,0.5714285714285714
228,23468,228,0.09382748300558888,0.0,0.42857142857142855
229,23605,229,0.05430458212766097,0.0,0.8571428571428571
230,23686,230,0.0957334618906025,0.0,0.5714285714285714
231,23791,231,0.09306639861906522,0.0,0.7142857142857143
232,23864,232,0.07980160292496698,0.0,0.8571428571428571
233,23969,233,0.12634694159115986,0.0,0.2857142857142857
234,24066,234,0.08953160098123286,0.0,0.5714285714285714
235,24179,235,0.12827404825164454,0.0,0.2857142857142857
236,24388,236,0.04782608118409721,0.0,0.8571428571428571
237,24485,237,0.08076806988116005,0.0,0.7142857142857143
238,24566,238,0.05607454683067044,1.0,1.0
239,24647,239,0.10748687163018622,0.0,0.42857142857142855
240,24728,240,0.12730948584803264,0.0,0.2857142857142857
241,24817,241,0.06826720912541284,0.0,0.8571428571428571
242,24858,242,0.2925608863867819,0.0,0.42857142857142855
243,24971,243,0.12039124408416682,0.0,0.2857142857142857
244,25060,244,0.1410520563340767,0.0,0.2857142857142857
